City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,dakhla,23.6848,-15.958,297.16,73,2,9.77,EH,1694714155
266,al kharijah,25.4514,30.5464,301.43,19,0,4.34,EG,1694714155
267,selfoss,63.9331,-20.9971,287.06,68,31,4.2,IS,1694714155
268,auriflama,-20.6856,-50.5547,293.03,65,100,3.31,BR,1694714156
269,sitka,57.0531,-135.33,286.09,82,100,5.14,US,1694714156
270,ghardaia,32.4909,3.6735,307.79,16,75,4.63,DZ,1694714156
271,mahibadhoo,3.7833,72.9667,301.16,78,98,4.34,MV,1694714156
272,murun-kuren,49.6342,100.1625,280.61,95,100,0.73,MN,1694714156
273,sassandra,4.95,-6.0833,297.93,87,69,3.34,CI,1694714114
274,port-saint-louis-du-rhone,43.3833,4.8,300.53,53,0,5.14,FR,1694714156
275,worcester,42.3334,-71.8328,296.71,58,15,1.79,US,1694713983
276,rikaze,29.25,88.8833,288.0,41,8,2.1,CN,1694714157
277,reftinskiy,57.0901,61.6769,284.63,70,41,0.79,RU,1694714157
278,hotan,37.0997,79.9269,297.62,17,0,2.4,CN,1694714157
279,morant bay,17.8815,-76.4093,305.94,62,36,3.7,JM,1694714157
280,colonia,50.9333,6.95,292.51,66,0,2.06,DE,1694714157
281,houlton,46.1262,-67.8403,293.49,77,100,1.54,US,1694714158
282,eureka,40.8021,-124.1637,295.81,76,0,0.89,US,1694714158
283,prince rupert,54.3161,-130.3201,287.2,71,100,10.29,CA,1694714158
284,san rafael del yuma,18.4299,-68.6739,305.26,63,77,5.23,DO,1694714158
285,okhotsk,59.3833,143.3,278.85,71,8,3.23,RU,1694714158
286,fuglafjordur,62.244,-6.814,282.41,93,100,17.24,FO,1694714158
287,auki,-8.7676,160.7034,297.1,90,98,2.39,SB,1694713581
288,sitangkai,4.6628,119.3928,301.43,75,91,5.43,PH,1694714159
289,nema,57.5067,50.5011,286.17,69,83,1.8,RU,1694714159
290,mil'kovo,55.6078,37.7956,288.74,58,48,3.09,RU,1694714159
291,anadyr,64.75,177.4833,275.43,100,40,1.0,RU,1694714159
292,jiayuguan,39.8167,98.3,290.29,31,4,2.27,CN,1694714159
293,xinzhou,38.4092,112.7333,289.11,84,2,0.42,CN,1694714159
294,hasaki,35.7333,140.8333,298.31,91,80,4.09,JP,1694714159
295,kanazawa,36.5944,136.6256,298.31,93,99,1.22,JP,1694714159
296,alofi,-19.0595,-169.9187,291.09,94,41,1.03,NU,1694713574
297,chacabuco,-34.6417,-60.4739,293.61,33,91,6.45,AR,1694714160
298,usinsk,65.9939,57.5281,285.69,75,61,5.86,RU,1694714160
299,saint-pierre,-21.3393,55.4781,294.97,68,0,3.09,RE,1694714160
300,dapa,9.7594,126.0531,300.39,83,87,3.57,PH,1694714160
301,acarau,-2.8856,-40.12,303.96,57,20,8.9,BR,1694714160
302,horodnye,45.8908,28.8483,294.56,60,43,7.09,UA,1694714160
303,lashio,22.9333,97.75,292.88,99,74,0.31,MM,1694714161
304,kasimov,54.9411,41.3953,288.47,59,70,1.91,RU,1694714161
305,lhokseumawe,5.1801,97.1507,299.26,84,84,0.91,ID,1694714161
306,kirakira,-10.4544,161.9205,296.99,88,93,1.69,SB,1694714161
307,yatou,37.15,122.3833,292.82,88,50,2.15,CN,1694714161
308,turan,16.0678,108.2208,300.14,89,75,0.0,VN,1694714161
309,port saint john's,-31.6229,29.5448,291.81,81,72,3.77,ZA,1694714162
310,kununurra,-15.7667,128.7333,290.14,82,40,0.0,AU,1694714162
311,todabhim,26.9167,76.8167,302.93,69,99,2.13,IN,1694714162
312,san antonio de pale,-1.4014,5.6325,297.37,80,48,4.2,GQ,1694714162
313,jiangyou,31.7667,104.7167,295.16,82,68,1.52,CN,1694714162
314,port moresby,-9.4431,147.1797,295.83,83,75,7.72,PG,1694714162
315,kingston,17.997,-76.7936,305.68,62,20,4.12,JM,1694714102
316,kijang,35.2442,129.2139,296.0,93,100,4.18,KR,1694714163
317,opuwo,-18.0607,13.84,299.38,12,0,2.52,NA,1694714163
318,pisco,-13.7,-76.2167,294.18,68,100,4.63,PE,1694713584
319,bageshwar,29.85,79.7667,295.01,94,100,1.04,IN,1694714163
320,isheyevka,54.4167,48.2667,287.88,59,54,1.9,RU,1694714163
321,savanna-la-mar,18.219,-78.1332,305.12,64,34,2.06,JM,1694714163
322,brookings,44.3114,-96.7984,300.07,53,0,9.77,US,1694714108
323,ceylanpinar,36.8472,40.05,300.68,14,0,3.87,TR,1694714164
324,toguchin,55.2353,84.3858,284.08,89,45,1.69,RU,1694714164
325,zaozersk,69.4005,32.4476,277.99,83,79,2.04,RU,1694714164
326,pandan,14.0453,124.1694,299.46,86,93,2.24,PH,1694714164
327,eydhafushi,5.1033,73.0708,301.48,75,100,4.17,MV,1694713566
328,kayenta,36.7278,-110.2546,294.47,40,59,1.67,US,1694714165
329,alice town,25.7167,-79.3,302.0,68,4,2.92,BS,1694714165
330,mitu,1.1983,-70.1733,307.97,42,100,1.69,CO,1694714165
331,peniche,39.3558,-9.3811,297.64,86,69,5.02,PT,1694714165
332,cluain meala,52.355,-7.7039,287.82,98,100,1.33,IE,1694714165
333,umluj,25.0213,37.2685,303.71,55,4,4.81,SA,1694714165
334,katsuren-haebaru,26.3369,127.8719,301.36,83,20,2.06,JP,1694714165
335,lao cai,22.4833,103.95,297.21,99,98,0.2,VN,1694714166
336,petrolina,-9.3986,-40.5008,305.18,33,0,4.63,BR,1694714032
337,tralee,52.2704,-9.7026,286.29,94,75,1.03,IE,1694714166
338,mejit,10.2753,170.8646,301.49,76,71,6.62,MH,1694714166
339,nurota,40.5614,65.6886,291.38,27,0,5.61,UZ,1694714166
340,baker city,44.7749,-117.8344,294.62,54,0,2.57,US,1694714166
341,port elizabeth,-33.918,25.5701,288.31,72,0,2.06,ZA,1694714166
342,tobruk,32.0836,23.9764,298.59,65,0,6.76,LY,1694714167
343,masuguru,-11.3667,38.4167,301.27,40,10,4.4,TZ,1694714167
344,orange,33.7,-117.7675,299.0,70,75,3.6,US,1694714167
345,anamosa,42.1083,-91.2852,297.75,46,2,3.43,US,1694714167
346,ulan bator,47.9077,106.8832,283.22,87,75,3.0,MN,1694714167
347,panino,51.6467,40.1346,285.5,61,87,2.64,RU,1694714167
348,tilcara,-23.5776,-65.3509,288.89,13,0,1.88,AR,1694714168
349,siatista,40.2619,21.5442,290.03,48,72,1.55,GR,1694714168
350,carutapera,-1.195,-46.02,302.9,66,31,3.75,BR,1694714168
351,ljusdal,61.8288,16.0913,280.04,65,80,1.45,SE,1694714168
352,santa elena de uairen,4.6167,-61.1333,303.44,34,25,4.53,VE,1694714168
353,amga,60.8953,131.9608,277.09,94,100,1.34,RU,1694714168
354,howard springs,-12.497,131.047,297.1,83,87,6.26,AU,1694713578
355,richards bay,-28.783,32.0377,293.72,73,0,4.12,ZA,1694713575
356,heroica guaymas,27.9333,-110.9,307.29,44,0,3.32,MX,1694714169
357,argo,37.6333,22.7333,295.81,54,58,0.51,GR,1694714169
358,fort mcmurray,56.7268,-111.381,286.92,76,100,4.12,CA,1694714169
359,santiago del torno,-17.9833,-63.3833,298.25,26,80,2.71,BO,1694714169
360,hajin,34.6927,40.827,303.29,13,0,3.75,SY,1694714169
361,ar raqqah,35.95,39.0167,301.11,14,0,3.83,SY,1694714169
362,valparaiso,-33.0393,-71.6273,298.28,35,0,7.72,CL,1694713883
363,nguigmi,14.2495,13.1092,302.56,61,95,6.4,NE,1694714170
364,morehead city,34.7229,-76.726,302.18,70,20,7.2,US,1694714170
